;claim;entity;evidence;label
1795;Hugh Steinmetz var medlem i den første danske modstandsbevægelse.;['Hugh_Steinmetz'];[''];NotEnoughInfo
1502;Silkesommerfuglens største art er Bombyx mori.;['Silkesommerfugle'];[''];NotEnoughInfo
1482;Pratt & Whitney R-2000 Twin Wasp blev udviklet til kargofly.;['Pratt_&_Whitney_R-2000_Twin_Wasp'];[''];NotEnoughInfo
1340;Kingspan TEK laver produkter indenfor isolering.;['Kingspan_TEK'];[''];NotEnoughInfo
1345;Kingspan TEK laver produkter indenfor skiløb.;['Kingspan_TEK'];[''];NotEnoughInfo
1346;Skt. Pauls skole er en kostskole fra 1976.;['Skt._Pauls_skole'];[''];NotEnoughInfo
1351;Kanelduer lever i regnskoven.;['Kaneldue'];[''];NotEnoughInfo
1364;Anonymitet bliver tit kombineret med brug af Deep Fake teknologi.;['Anonymitet'];[''];NotEnoughInfo
1366;Vand har den fysiske formel H20.;['Vand'];[''];NotEnoughInfo
1367;Schlager Metal har heavy metal-coverversioner af sange fra P3.;['Schlager_Metal'];[''];NotEnoughInfo
1368;Anonymitet bliver tit kombineret med brug af hatte.;['Anonymitet'];[''];NotEnoughInfo
1382;En Politistation er et centrum for PETs administration.;['Politistation'];[''];NotEnoughInfo
1395;Ingen har spekulationer om hvad CIA's kodeord betyder.;"[""CIA's_kodeord""]";[''];NotEnoughInfo
1403;Det Juridiske Fakultet hører til Århus Universitet.;['Det_Juridiske_Fakultet_(Københavns_Universitet)'];[''];NotEnoughInfo
1414;Dansk Fodbolddommer Union blev reviderede i 1944.;['Dansk_Fodbolddommer-Union'];[''];NotEnoughInfo
1425;Nartkala hedder på japansk Иркутск.;['Nartkala'];[''];NotEnoughInfo
1426;Dansk Fodbolddommer Union blev stiftet under den anden verdenskrig.;['Dansk_Fodbolddommer-Union'];[''];NotEnoughInfo
1427;En definition må ikke være upræcis.;['Definition'];[''];NotEnoughInfo
1432;Nartkala er venskabsby til Нарткала.;['Nartkala'];[''];NotEnoughInfo
1433;León er en spansk provins, der er i krig med Lugo.;['León_(provins)'];[''];NotEnoughInfo
1462;Airbus A350 XWB er fremstillet af carbonfiberforstærket polymer produceret af Airbus.;['Airbus_A350'];[''];NotEnoughInfo
1467;Hirsch Glik var ikke religiøs.;['Hirsch_Glik'];[''];NotEnoughInfo
1472;Airbus A350 XWB er fremstillet af carbonfiberforstærket polymer produceret af Boeing.;['Airbus_A350'];[''];NotEnoughInfo
1473;The Substitute har et soundtrack skrevet af Simon Andersen.;['The_Substitute'];[''];NotEnoughInfo
1480;Hirsch Glik troede på en abrahamitisk gud.;['Hirsch_Glik'];[''];NotEnoughInfo
1481;Hirsch Glik var en ortododoks jøde.;['Hirsch_Glik'];[''];NotEnoughInfo
1499;Suicide Squad er en amerikansk film om DC superhelte.;['Suicide_Squad'];[''];NotEnoughInfo
1803;Britney er Britney Spears' tredje studiealbum ud af seks.;['Britney_(album)'];[''];NotEnoughInfo
1806;Robbie Robertson har haft en solokarriere som trommeslager.;['Robbie_Robertson'];[''];NotEnoughInfo
1826;Aloys Schmitt havde faren Georg.;['Aloys_Schmitt'];[''];NotEnoughInfo
2047;D-dag blev understøttet af Landing Ship Tanks.;['Landing_Ship_Tank'];[''];NotEnoughInfo
2049;Carl Julius Lorck var en norsk maler som døde i nutidens Oslo.;['Carl_Julius_Lorck'];[''];NotEnoughInfo
2050;Västergötlands museum har en udstilling om vikingetid.;['Västergötlands_museum'];[''];NotEnoughInfo
2055;Båndhalet skægstrube er en kolibriart som er lettere end en and.;['Båndhalet_skægstrube'];[''];NotEnoughInfo
2056;"For sin rolle i ""Junglebogen"" blev Sam Jaffe nomineret til en Oscar i 1967.";['Sam_Jaffe'];[''];NotEnoughInfo
2062;Audi A4 allroad quattro er en SUV som er produceret i Ingolstadt.;['Audi_A4_allroad_quattro'];[''];NotEnoughInfo
2066;Audi A4 allroad quattro egner sig ikke til offroad.;['Audi_A4_allroad_quattro'];[''];NotEnoughInfo
2078;Johanne Fenger var datter af Kirsten Roelshøj.;['Johanne_Fenger'];[''];NotEnoughInfo
2090;Salvador Carmona spillede højre fløj for Hannover 96.;['Salvador_Carmona'];[''];NotEnoughInfo
2094;Irene af Grækenland døde i Athen.;['Irene_af_Grækenland_(1904-1974)'];[''];NotEnoughInfo
2095;Allenby-broen er opkaldt efter Edmund Allenby.;['Allenby-broen'];[''];NotEnoughInfo
2097;Johanne Fenger voksede op uden sin far fordi han var præst.;['Johanne_Fenger'];[''];NotEnoughInfo
2102;Audi A4 allroad quattro er en bil fra tysk bilproducent Audi.;['Audi_A4_allroad_quattro'];[''];NotEnoughInfo
2107;Promise blev udgivet af Thomas Helmigs søn.;['Promise_(EP)'];[''];NotEnoughInfo
2116;Christian Horrebow er far til en dansk astronom.;['Christian_Horrebow'];[''];NotEnoughInfo
2119;Ivan Runje spillede højre fløj for Jagiellonia Białystok.;['Ivan_Runje'];[''];NotEnoughInfo
2125;Christian Horrebow var en dansk astronom fra Københavns Universitet.;['Christian_Horrebow'];[''];NotEnoughInfo
2127;Rantzausgade på Nørrebro er opkaldt efter holstensk godsejer Hans Rantzau.;['Hans_Rantzau_(ca._1685-1744)'];[''];NotEnoughInfo
2139;Kim Nowak-Zorde skriver sange og dirigerer et orkester.;['Kim_Nowak-Zorde'];[''];NotEnoughInfo
2141;Meredith Brooks vandt ingen pris for sangen 'Bitch'.;['Meredith_Brooks'];[''];NotEnoughInfo
2147;Kim Nowak-Zorde er orkesterleder og sankskriver.;['Kim_Nowak-Zorde'];[''];NotEnoughInfo
2152;Widukind var pacifist.;['Widukind'];[''];NotEnoughInfo
2163;Leonid Rosjal er medicinsk ekspert.;['Leonid_Mikhailovitj_Rosjal'];[''];NotEnoughInfo
2045;"For sin rolle i ""Asfaltjunglen"" blev Sam Jaffe omdøbt til Oscar i 1951.";['Sam_Jaffe'];[''];NotEnoughInfo
2044;"For sin rolle i ""Asfaltjunglen"" blev Sam Jaffe nomineret til en Golden Globe i 1951.";['Sam_Jaffe'];[''];NotEnoughInfo
2043;Carl Julius Lorck var en norsk maler som døde i Christiania i København.;['Carl_Julius_Lorck'];[''];NotEnoughInfo
2041;Carl Julius Lorck døde uden for sit hjemland.;['Carl_Julius_Lorck'];[''];NotEnoughInfo
1827;Oliver Ussing lavede sin første film i 2003.;['Oliver_Ussing'];[''];NotEnoughInfo
1828;Christian Magleby spillede golf.;['Christian_Magleby'];[''];NotEnoughInfo
1837;Holland deltog i London Vinter-OL 2012.;['Holland_ved_sommer-OL_2012'];[''];NotEnoughInfo
1838;Oliver Ussing lavede sin sidste spillefilm i 2003.;['Oliver_Ussing'];[''];NotEnoughInfo
1842;Spæd mælkeurt forekommer i habitater som regnskoven.;['Spæd_mælkeurt'];[''];NotEnoughInfo
1848;Holland deltog i London Sommer-OL 2016.;['Holland_ved_sommer-OL_2012'];[''];NotEnoughInfo
1849;Spæd mælkeurt forekommer i habitater som i Danmarks skove.;['Spæd_mælkeurt'];[''];NotEnoughInfo
1861;Flemmings Helte var et satire program hvor komikere snakkede med folk fra gaden.;['Flemmings_Helte'];[''];NotEnoughInfo
1869;Bandet Pixeltan blev opløst i 2001.;['Pixeltan'];[''];NotEnoughInfo
1873;Eli Benneweis var cirkusdirektør for Cirkus Arena.;['Eli_Benneweis'];[''];NotEnoughInfo
1875;Eli Benneweis var cirkusdirektør for Cirkus Nemo.;['Eli_Benneweis'];[''];NotEnoughInfo
1336;Kingspan TEK laver produkter indenfor isolering af huse.;['Kingspan_TEK'];[''];NotEnoughInfo
1891;The Secret Service er mest kendt som Kingsman.;['The_Secret_Service_(tegneserie)'];[''];NotEnoughInfo
1965;Rosmarin bruges i asiatisk inspirerede retter.;['Rosmarin'];[''];NotEnoughInfo
1970;Rosmarin bruges i italiensk inspirerede retter.;['Rosmarin'];[''];NotEnoughInfo
2005;Dansk-Estisk Selskab har til formål at understøtte venskab mellem folk i København og Tallin.;['Dansk-Estisk_Selskab'];[''];NotEnoughInfo
2014;John Blake kunne ikke deltage i OL i 1916 på grundet af den 1. verdenskrig.;['John_Blake'];[''];NotEnoughInfo
2016;Châlons-en-Champagne er en by i den nordøstlige Frankrig.;['Châlons-en-Champagne'];[''];NotEnoughInfo
2019;John Blake deltog i tre på hinanden følgende olympiske lege.;['John_Blake'];[''];NotEnoughInfo
2021;Omformerstation Fraugde konverterer mellem forskellige elektriske spændinger.;['Omformerstation_Fraugde'];[''];NotEnoughInfo
2029;Carl Julius Lorck var en norsk maler som døde i Norges hovedstad.;['Carl_Julius_Lorck'];[''];NotEnoughInfo
2032;Landing Ship Tanks blev bygget af aksemagterne under 2. verdenskrig.;['Landing_Ship_Tank'];[''];NotEnoughInfo
2035;Båndhalet skægstrube findes i Sydamerika.;['Båndhalet_skægstrube'];[''];NotEnoughInfo
2036;"For sin rolle i ""Asfaltjunglen"" blev Sam Jaffe nomineret til en Nobelpris i 1951.";['Sam_Jaffe'];[''];NotEnoughInfo
1910;En rabatkode bliver typisk indtastet under når man starter sin bestilling.;['Rabatkoder'];[''];NotEnoughInfo
1333;Et fillerafsnit er ikke altid negativt betragtet, men det er ikke populært.;['Fillerafsnit'];[''];NotEnoughInfo
1332;Kanelduer lever på den sydlige halvkugle.;['Kaneldue'];[''];NotEnoughInfo
1330;En kålgård er en gammel gård.;['Kålgård'];[''];NotEnoughInfo
682;Bloktilskud ydes af en stat i Skandinavien.;['Bloktilskud'];[''];NotEnoughInfo
687;GameIT College tilbyder et undervisningsprogram med fokus på design og kunst.;['GameIT_College'];[''];NotEnoughInfo
713;The Life and Death of Thomas Simeon er en kortfilm instrueret af en dansk mand.;['The_Life_and_Death_of_Thomas_Simeon'];[''];NotEnoughInfo
730;Phoenix undersøger hvis miljøet på Mars kan understøtte menneskeliv.;['Phoenix_(rumsonde)'];[''];NotEnoughInfo
777;Vegetarisme bygger på, at mennesket udelukkende ernærer sig uden nogen form for dyreprodukter.;['Vegetarisme'];[''];NotEnoughInfo
808;Schouboe er navnet på en uddød dansk fortfatter-familie.;['Schouboe'];[''];NotEnoughInfo
809;Doune Castle ligger i England.;['Doune_Castle'];[''];NotEnoughInfo
815;Gige er en violin art.;['Gige'];[''];NotEnoughInfo
817;Jens Lolle har skrevet musikken til balletten Nødeknækkeren.;['Jens_Lolle'];[''];NotEnoughInfo
822;Doune Castle ligger i et øde område.;['Doune_Castle'];[''];NotEnoughInfo
824;Polybos var Voldemorts far.;['Polybos'];[''];NotEnoughInfo
856;Dansk Melodi Grand Prix bliver afholdt af DR.;['Dansk_Melodi_Grand_Prix'];[''];NotEnoughInfo
865;Alle farver kan dannes på baggrund af hvid.;['Primærfarver'];[''];NotEnoughInfo
871;Åsted kirke ligger 20km fra København.;['Åsted_Kirke_(Frederikshavn_Kommune)'];[''];NotEnoughInfo
881;Baktericider er en antibiotika som kan dræbe alt.;['Baktericider'];[''];NotEnoughInfo
888;Silas Carson spiller med i nogle Meet The Parents-film.;['Silas_Carson'];[''];NotEnoughInfo
897;Denizli ligger i en provins med et højt tårn.;['Denizli'];[''];NotEnoughInfo
899;De tyske østområder blev underlagt Polen og Sovjetunionen efter anden verdenskrig.;['Tyske_østområder'];[''];NotEnoughInfo
928;Dolby Theatre lægger hus til den årlige Golden Globe uddeling i Hollywood.;['Dolby_Theatre'];[''];NotEnoughInfo
950;Anna Egholm er både danser og skuespiller.;['Anna_Egholm'];[''];NotEnoughInfo
953;Dorian Grays Portræt er en stumfilm fra før anden verdenskrig.;['Dorian_Grays_Portræt'];[''];NotEnoughInfo
955;AVN Hall of Fame hæder personer i Albanien.;['Liste_over_medlemmer_i_AVN_Hall_of_Fame'];[''];NotEnoughInfo
958;Bregningen Kirke ligger i Danmarks 4. største region.;['Bregninge_Kirke_(Kalundborg_Kommune)'];[''];NotEnoughInfo
671;Earl's Court Exhibition Center blev brugt til volleyball ved et EM.;"[""Earl's_Court_Exhibition_Center""]";[''];NotEnoughInfo
665;Earl's Court Exhibition Center blev brugt til tennis under OL i 2012.;"[""Earl's_Court_Exhibition_Center""]";[''];NotEnoughInfo
664;Earl's Court Exhibition Center blev brugt til volleyball under OL i 2016.;"[""Earl's_Court_Exhibition_Center""]";[''];NotEnoughInfo
651;VM i fodbold for kvinder 2010 blev afviklet i USA.;['VM_i_fodbold_for_kvinder_2003'];[''];NotEnoughInfo
450;Europa-Parlamentsvalget 1999 blev afholdt i 1999.;['Europa-Parlamentsvalget_1999'];[''];NotEnoughInfo
453;L:Ron:Harald har sunget sangen Anaconda.;['L:Ron:Harald'];[''];NotEnoughInfo
465;Jørgen Troest var medlem af en atletik klub på Amager.;['Jørgen_Troest'];[''];NotEnoughInfo
469;Alfred Nijhuis var sportsmand i Holland.;['Alfred_Nijhuis'];[''];NotEnoughInfo
481;Blommer falder af pruuns-træer.;['Blomme_(frugt)'];[''];NotEnoughInfo
490;Jørgen Troest var medlem af en atletik klub i Horsens.;['Jørgen_Troest'];[''];NotEnoughInfo
494;Seden Kirke blev bombet i 1412.;['Seden_Kirke'];[''];NotEnoughInfo
501;Lil Boosie er Boris Johnson's kunstnernavn.;['Lil_Boosie'];[''];NotEnoughInfo
503;Lil Boosie er Barack Obama's kunstnernavn.;['Lil_Boosie'];[''];NotEnoughInfo
504;The Crazy Reds blev opløst i 1995.;['The_Crazy_Reds'];[''];NotEnoughInfo
537;Great Trek fandt sted inden 1. verdenskrig.;['Great_Trek'];[''];NotEnoughInfo
961;Vibeke Juel har instrueret filmen Shutter Island.;['TV-dinner'];[''];NotEnoughInfo
544;Færøernes Forfatterforening blev etableret efter 2. verdenskrig.;['Rithøvundafelag_Føroya'];[''];NotEnoughInfo
557;Den anatolske hyrdehund er en af de fem største hunderacer.;['Anatolsk_Hyrdehund'];[''];NotEnoughInfo
562;Pro-Movec A/S sælger cykeludstyr.;['Pro-Movec'];[''];NotEnoughInfo
575;Reno er den tredjemindste by i Nevada.;['Reno_(Nevada)'];[''];NotEnoughInfo
583;James Stuart døde den 2. februar 1788 i England.;['James_Stuart_(arkitekt)'];[''];NotEnoughInfo
584;Reno er en af de største byer i Nevada.;['Reno_(Nevada)'];[''];NotEnoughInfo
588;Reno er en stor by i Nevada.;['Reno_(Nevada)'];[''];NotEnoughInfo
589;Leclerc er en kæde af dyrebutikker i Frankrig.;['E.Leclerc'];[''];NotEnoughInfo
591;Slaget mellem Olav Haraldsson og Svein Håkonsson var uden de allierede norske stormænd.;['Slaget_ved_Nesjar'];[''];NotEnoughInfo
617;Zvezda Zvenigorod har Brad Pitt som træner.;['Zvezda_Zvenigorod'];[''];NotEnoughInfo
628;Zvezda Zvenigorod har Brad Pitt som idol.;['Zvezda_Zvenigorod'];[''];NotEnoughInfo
637;Jødisk Informationscenter blev oprettet efter afslutningen på 2. verdenskrig.;['Jødisk_Informationcenter'];[''];NotEnoughInfo
548;Alt om Aarhus fungerede som kort over Aarhus.;['Alt_om_Aarhus'];[''];NotEnoughInfo
2165;Leonid Rosjal arbejder for en stor international organisation.;['Leonid_Mikhailovitj_Rosjal'];[''];NotEnoughInfo
965;Anna Egholm er både skøjteløber og sangerinde.;['Anna_Egholm'];[''];NotEnoughInfo
970;AVN Hall of Fame hæder skuespiller.;['Liste_over_medlemmer_i_AVN_Hall_of_Fame'];[''];NotEnoughInfo
1182;Peter Dain Suber er levende filosof.;['Peter_Suber'];[''];NotEnoughInfo
1187;Andelslandsbyen Nyvang ligger syd for Hornbæk.;['Andelslandsbyen_Nyvang'];[''];NotEnoughInfo
1190;Ben Elton er født i England.;['Ben_Elton'];[''];NotEnoughInfo
1192;Carl Hellevang-Larsen har været med i Ylvis.;['Calle_Hellevang-Larsen'];[''];NotEnoughInfo
1198;Carl Hellevang-Larsen har været med i TV-programmet Ylvis.;['Calle_Hellevang-Larsen'];[''];NotEnoughInfo
1201;Einar Hareide arbejde for Mercedes Benz i 1980'erne og 1990'erne.;['Einar_J._Hareide'];[''];NotEnoughInfo
1203;Einar Hareide arbejdede for Chrysler Group LLC.;['Einar_J._Hareide'];[''];NotEnoughInfo
1204;Peter Dain Suber er en død filosof.;['Peter_Suber'];[''];NotEnoughInfo
1223;Egelundskolen er en folkeskole på Sjælland.;['Egelundskolen'];[''];NotEnoughInfo
1226;HyperSCSI er en dataprotokol der kan overføre data til skyen.;['HyperSCSI'];[''];NotEnoughInfo
1232;Luís Carlos de Oliviera Preto har spillet fodbold i Brasilien.;['Luís_Carlos_de_Oliveira_Preto'];[''];NotEnoughInfo
1239;Bjarne er en kortform af Bjarne Riis.;['Bjarne'];[''];NotEnoughInfo
1250;Nína Dögg Filippusdóttir er en islandsk sanger.;['Nína_Dögg_Filippusdóttir'];[''];NotEnoughInfo
1251;Daugbjerg Sogn skiftede tilbehørsforhold på grund af første verdenskrig i 1970.;['Daugbjerg_Sogn'];[''];NotEnoughInfo
1258;Ettore Bertolè Viale var en italiensk major.;['Ettore_Bertolè_Viale'];[''];NotEnoughInfo
1264;I Feel Pretty er en komedie film fra 2018.;['I_Feel_Pretty_(film)'];[''];NotEnoughInfo
1270;Christian Andersen vandt Nobelprisen.;['Christian_Andersen_(journalist)'];[''];NotEnoughInfo
1271;Christian Andersen vandt en Oscar.;['Christian_Andersen_(journalist)'];[''];NotEnoughInfo
1273;Wilhelm Heuer var en tysk kobberstikker som arbejdede i Tyskland.;['Wilhelm_Heuer_(født_1786)'];[''];NotEnoughInfo
1282;I Feel Pretty er en amerikansk film fra 2018 med Amy Schumer.;['I_Feel_Pretty_(film)'];[''];NotEnoughInfo
1291;Wilhelm Heuer var en tysk kobberstikker som ikke arbejdede i Tyskland.;['Wilhelm_Heuer_(født_1786)'];[''];NotEnoughInfo
1299;Georgetown er en by i Delaware grundlagt af George Washington.;['Georgetown_(Delaware)'];[''];NotEnoughInfo
1313;Västergötlands museum drives af en region i Sverige.;['Västergötlands_museum'];[''];NotEnoughInfo
1177;Andelslandsbyen Nyvang ligger syd for Helsingør.;['Andelslandsbyen_Nyvang'];[''];NotEnoughInfo
1170;Theresa Polo spillede med i tre film som Batman.;['Teri_Polo'];[''];NotEnoughInfo
1158;"""Stairway To Heaven"" udkom på et albummet 'Greatest Hits'.";['Stairway_to_Heaven'];[''];NotEnoughInfo
1153;Adelen i Storbritannien er den øverste samfundsklasse i Europa.;['Adel_i_Storbritannien'];[''];NotEnoughInfo
971;Bregningen Kirke blev bygget i Region Sjælland.;['Bregninge_Kirke_(Kalundborg_Kommune)'];[''];NotEnoughInfo
990;Gunner Møller Pedersen har komponeret musik til Game of Thrones.;['Gunner_Møller_Pedersen'];[''];NotEnoughInfo
993;Gunner Møller Pedersen har komponeret musik til en ballet.;['Gunner_Møller_Pedersen'];[''];NotEnoughInfo
1003;Eluf Troelsen har spillet fodbold i Europa.;['Eluf_Troelsen'];[''];NotEnoughInfo
1007;Gunner Møller Pedersen har komponeret musik til Harry Potter.;['Gunner_Møller_Pedersen'];[''];NotEnoughInfo
1027;Batman & Robin er en film fra 1997 med blandt andet Joaquin Phoenix.;['Batman_&_Robin'];[''];NotEnoughInfo
1030;Basisbank er ejet af Det Naturvideskabelige Institut af Københavns Universitet.;['Basisbank'];[''];NotEnoughInfo
1031;Niels West var en dansk officer da han døde.;['Niels_West'];[''];NotEnoughInfo
1035;Spejlsalen er en spejsesal ved Versaillespaladset.;['Spejlsalen'];[''];NotEnoughInfo
1036;Niels West var officer i det Danske Forsvar.;['Niels_West'];[''];NotEnoughInfo
1038;NRK P3 er en radio kanal fra Oslo.;['NRK_P3'];[''];NotEnoughInfo
967;Vibeke Juel har instrueret filmen Efter Bryllupet.;['TV-dinner'];[''];NotEnoughInfo
1045;Aalborg Musikfestival afholdes årligt siden 1952.;['Aalborg_Musikfestival'];[''];NotEnoughInfo
1061;Sankt Cæcilia er en helgen fra en verdensreligion.;['Sankt_Cæcilia'];[''];NotEnoughInfo
1064;The Ministry of Darkness blev ledet af Rey Mysterio.;['Ministry_of_Darkness'];[''];NotEnoughInfo
1068;Akvædukter blev bygget af romerne.;['Akvædukt'];[''];NotEnoughInfo
1076;Gul kæmpekalla er en blomst fra Asien.;['Gul_kæmpekalla'];[''];NotEnoughInfo
1093;Undervandsbåden bliver brugt til civile formål.;['Undervandsbåd'];[''];NotEnoughInfo
1102;Undervandsbådene bruges i 2. verdenskrig.;['Undervandsbåd'];[''];NotEnoughInfo
1115;Hyrdebrevet af 31. august 1943 blev udsendt til præsterne i et fly.;['Hyrdebrevet_af_31._august_1943'];[''];NotEnoughInfo
1127;En urafstemning er den ældste form af valg.;['Urafstemning'];[''];NotEnoughInfo
1138;Norsk lundehund er en spidshunderace fra Lofoten.;['Norsk_lundehund'];[''];NotEnoughInfo
1140;Yusuke Tanaka spiller for den japanske fodboldklub Sagrada Familia.;['Yusuke_Tanaka'];[''];NotEnoughInfo
1141;Laelaps var en gave fra Zeus til Europa.;['Laelaps'];[''];NotEnoughInfo
1046;Basisbank er ikke ejet af et pengeinstitut.;['Basisbank'];[''];NotEnoughInfo
2171;Stuart Little blev udgivet af et amerikansk filmproduktionsselskab.;['Stuart_Little'];[''];NotEnoughInfo
2189;Hertug Frederik til Slesvig-Holsten-Sønderborg-Glücksborg er forfader til Magrethe 2.;['Frederik_af_Slesvig-Holsten-Sønderborg-Glücksborg_(1814-1885)'];[''];NotEnoughInfo
2197;Chlumec nad Cidlinou er større end Hradec Králové.;['Chlumec_nad_Cidlinou'];[''];NotEnoughInfo
3007;Hvis et menneske er mellem 120 og 150 cm, er det betegnet som en pygmæ.;['Pygmæ'];[''];NotEnoughInfo
3010;Christian Hansen blev uddannet i Grækenland, og blev efterfølgende kongelig bygningsinspektør.;['Christian_Hansen_(arkitekt)'];[''];NotEnoughInfo
3016;"Scooters femte studiealbum fra 1999 indeholder ""Faster Harder Scooter"".";['Back_to_the_Heavyweight_Jam'];[''];NotEnoughInfo
3019;Hans Christian Hansen blev uddannet i Grækenland, og blev efterfølgende bygningsinspektør.;['Christian_Hansen_(arkitekt)'];[''];NotEnoughInfo
3022;"Scooters sjette studiealbum fra 1999 indeholder ""Smelly Cat"".";['Back_to_the_Heavyweight_Jam'];[''];NotEnoughInfo
3029;Pudenelliker vokser bedst i fuld sol og vitaminholdig jord.;['Pudenellike'];[''];NotEnoughInfo
3033;Før Jens-Peter Brasks karriere som kunstsamler ejede han et galleri.;['Jens-Peter_Brask'];[''];NotEnoughInfo
3036;Sydøst for Middelfart på det vestlige Fyn ligger stationsbyen Svendborg.;['Ejby_(Middelfart_Kommune)'];[''];NotEnoughInfo
3042;Før Jens-Peter Brasks karriere som kunstsamler ejede han et hotel.;['Jens-Peter_Brask'];[''];NotEnoughInfo
3058;"Birgitte er et pigenavn, der stammer fra det kelto-italienske ord ""strålende"".";['Birgitte'];[''];NotEnoughInfo
3062;Den danske astronom Tycho Brahe fik et nedslagskrater på Pluto opkaldt efter ham.;['Tycho_Brahe_(krater)'];[''];NotEnoughInfo
3070;Mark Hunter har vundet guld til Sommer OL.;['Mark_Hunter_(roer)'];[''];NotEnoughInfo
3076;Grundlæggeren af moderne astronomi fik et nedslagskrater på Mars opkaldt efter ham.;['Tycho_Brahe_(krater)'];[''];NotEnoughInfo
3079;Mark Hunter har vundet flere medaljer.;['Mark_Hunter_(roer)'];[''];NotEnoughInfo
3081;Europæiske Steen Gottlieb begyndte at skyde med bue som 3-årig i Broager Bueskytter.;['Steen_Gottlieb'];[''];NotEnoughInfo
3090;Gangsterkomedien Tomme Tønner havde verdenspremiere 8. januar 2010.;['Tomme_Tønner'];[''];NotEnoughInfo
3092;Gangsterkomedien Tomme Tønner havde premiere i Skandinavien 8. januar 2010.;['Tomme_Tønner'];[''];NotEnoughInfo
3094;Gangsterkomedien Tomme Tønner havde premiere på Erhardsdag 2010.;['Tomme_Tønner'];[''];NotEnoughInfo
3111;I fysik er masse betegnelsen for mængden af stof i noget usynligt.;['Masse_(fysik)'];[''];NotEnoughInfo
3115;En harmonikas toner kommer fra invendige metalblades vibrationer sat i gang af tryk newton, der dannes med en blæsebælg.;['Harmonika'];[''];NotEnoughInfo
3123;"Shenandoahflodens navn kommer fra et moderne udtryk der betyder ""Stjernernes Datter"".";['Shenandoahfloden'];[''];NotEnoughInfo
3132;Mellem Haraldslundsvej og Bagsværdvej i Bagsværd ligger der et kollegium opkaldt efter Ferenc Velkey.;['P.O._Pedersen_Kollegiet'];[''];NotEnoughInfo
3133;Selvom de gamle grækere allerede foretog luftmåling, blev det først rimeligt præcist med indførelsen af triangulation i 1600-tallet.;['Gradmåling'];[''];NotEnoughInfo
3003;Efter sin uddannelse i Grækenland, blev Hans Christian Hansen kongelig bygningsinspektør.;['Christian_Hansen_(arkitekt)'];[''];NotEnoughInfo
3001;Hans Christian Hansen blev uddannet i Danmark, og blev efterfølgende kongelig bygningsinspektør.;['Christian_Hansen_(arkitekt)'];[''];NotEnoughInfo
